79B310,79B680,79B6A0,79B780,cricket,entity-sprites
79B780,79BB80,79BBA0,79BEB0,cicada,entity-sprites
79BEB0,79C1D0,79C1F0,79C2D0,white-butterfly,entity-sprites
79C2D0,79C750,79C770,79CA80,ladybug,entity-sprites
79CA80,79CCD0,79CCF0,79CDD0,dragonfly,entity-sprites
79CDD0,79D140,79D160,79D240,grasshopper,entity-sprites
79D240,7A0050,7A0070,7A0130,snake,entity-sprites
7A0130,7A0B90,7A0BB0,7A0C90,purple-butterfly,entity-sprites
7A0C90,7A5F30,7A5F50,7A6040,dad,entity-sprites
7A6040,7DDCC0,7DDCE0,7DDEE0,cow-indoors,entity-sprites
7DDEE0,7E9FE0,7EA000,7EA0F0,horse-2,entity-sprites
7EA0F0,7F4A90,7F4AB0,7F4D10,horse-racer,entity-sprites
7F4D10,7F65D0,7F65F0,7F6610,maria-harris-baby,entity-sprites
7F6610,7F8120,7F8140,7F8160,popuri-gray-baby,entity-sprites
7F8160,7F99F0,7F9A10,7F9A30,elli-jeff-baby,entity-sprites
7F9A30,7FB2C0,7FB2E0,7FB300,ann-cliff-baby,entity-sprites
7FB300,7FCCD0,7FCCF0,7FCD10,karen-kai-baby,entity-sprites
7FCD10,7FD1E0,7FD200,shadows,entity-sprites
7FD200,800430,800450,800530,expression-bubbles,entity-sprites
C951A0,C9D640,C9D660,C9D680,beach-waves,map-objects
C9D680,CA0DB0,CA0DD0,CA0DF0,water-tiles,map-objects
CA0DF0,CA3F60,CA3F80,CA3FA0,boulder,map-objects
CA3FA0,CA4AF0,CA4B10,CA4B30,bridge,map-objects
CA4B30,CA4FE0,CA5000,CA5010,stone-pillar,map-objects
CA5040,CA5430,CA5450,CA5460,mountain-path-tile,map-objects
CA5460,CA7500,CA7520,CA7540,smoke,map-objects
CA7540,CA87D0,CA87F0,CA8800,pond-water,map-objects
CA8800,CA90A0,CA90C0,festival-flowers,map-objects
CA90D0,CAA040,CAA060,CAA080,fountain,map-objects
CAA080,CAB010,CAB030,CAB0D0,waterfall,map-objects
CAB0D0,CAB310,CAB330,CAB340,stone,map-objects
CAB340,CAD490,CAD4B0,CAD4D0,vineyard-tree,map-objects
CAD500,CAD5E0,CAD600,CAD610,farm-pond,map-objects
CAD610,CB4D10,CB4D30,funeral-intro,misc
CB4D30,CB9920,CB9940,moon-mountain-background,misc
CB9940,CBE580,CBE5A0,horse-race,misc
CBE5C0,CBFDF0,CBFE10,splash,misc
CBFE10,CC0220,CC0240,red-sparkles,misc
CC0240,CC1BB0,CC1BD0,chimney-smoke,misc
CC1BD0,CC2670,CC2690,balloons,misc
CC2690,CC3A50,CC3A70,small-cloud,misc
CC3A70,CC4600,CC4620,fairies,misc
CC4620,CC5C90,CC5CB0,fireflies,misc
CC5CB0,CC65E0,CC6600,bullet-blinking,overlay-screens
CC6600,CC6D20,CC6D40,bullet-numeral,overlay-screens
CC6D40,CC9330,CC9390,checkerboard,overlay-screens
CC9390,CCB980,CCB9A0,naming-screen-grass-background,overlay-screens
CCB9A0,CD1100,CD1120,book,overlay-screens
CD1120,CD58D0,CD58F0,snapshot-small,overlay-screens
CD58F0,CDAE90,CDAEB0,snapshot-large,overlay-screens
CDAEB0,CDE2C0,CDE2E0,naming-screen-1,overlay-screens
CDE2E0,CED610,CED630,calendar,overlay-screens
CED630,CF1020,CF1040,calender-japan,overlay-screens
CF1040,CF2840,CF2860,book-screen-labels,overlay-screens
CF2860,CF4530,CF4550,japanese-character-select,overlay-screens
CF4550,CFE5F0,CFE610,overlay-screen-names,overlay-screens
CFE610,CFF6F0,CFF710,money,overlay-screens
CFF710,D057F0,D05810,power-nut-tree-drawing,overlay-screens
D05810,D0C8A0,D0C8C0,inventory-screen,overlay-screens
D0C8C0,D13AC0,D13AE0,prize-screen,overlay-screens
D13AE0,D1B4E0,D1B500,load-game-screen,overlay-screens
D1B500,D1DDE0,D1DE00,dialogue-window,overlay-screens
D1DE00,D2D600,D2D620,naming-screen-2,overlay-screens
D2D620,D2EBA0,D2EBC0,estimate-screen,overlay-screens
D2EBC0,D35A50,D35A90,race-betting-ui,overlay-screens
D35A90,D38A20,D38A40,time-ui,overlay-screens
D38A40,D3BFC0,D3BFE0,house-extension-selection,overlay-screens
D3BFE0,D3DCC0,D3DCE0,shop-icons,overlay-screens
D3DCE0,D451D0,D451F0,rankings,overlay-screens
D451F0,D47EE0,D47F00,guidebook,overlay-screens
D47F00,D49B80,D49BA0,dialogue-button-icons,overlay-screens
D49BA0,D4D9F0,D4DA10,D4DAB0,tv,overlay-screens
D4DAB0,D52590,D525B0,D52670,tools,overlay-screens
D52670,D82FD0,D82FF0,D835A0,holdable-items,overlay-screens
D835A0,D86D40,D86D60,D86D90,extra-festival-sprites,overlay-screens
D86D90,D8B140,D8B160,D8B1D0,home-items,overlay-screens
D8B1D0,D92950,D92970,map-spawnable-items,overlay-screens
D92970,D92D50,D92D70,rain,overlay-screens
D92D70,DB9EA0,DB9EC0,DBA100,dialogue-avatars,overlay-screens
DBA100,DD38F0,DD3910,title,overlay-screens
DD3910,DD47E0,DD4800,controller-icons,overlay-screens
DD4800,DD7750,DD7770,logos,overlay-screens
DD7770,DE3370,DE3390,credits,overlay-screens
DE3390,E087B0,E087D0,E08850,photos,overlay-screens
